Question,Section,Correct Answer,Your Answer,Actions,Module
3,Reading and Writing,C,D; Incorrect,Review,1.1
13,Reading and Writing,A,B; Incorrect,Review,1.1
1,Reading and Writing,A,A; Correct,Review,1.1
2,Reading and Writing,C,C; Correct,Review,1.1
4,Reading and Writing,B,B; Correct,Review,1.1
5,Reading and Writing,C,C; Correct,Review,1.1
6,Reading and Writing,D,D; Correct,Review,1.1
7,Reading and Writing,D,D; Correct,Review,1.1
8,Reading and Writing,D,D; Correct,Review,1.1
9,Reading and Writing,B,B; Correct,Review,1.1
10,Reading and Writing,C,C; Correct,Review,1.1
11,Reading and Writing,D,D; Correct,Review,1.1
12,Reading and Writing,C,C; Correct,Review,1.1
14,Reading and Writing,D,D; Correct,Review,1.1
15,Reading and Writing,B,B; Correct,Review,1.1
16,Reading and Writing,B,B; Correct,Review,1.1
17,Reading and Writing,D,D; Correct,Review,1.1
18,Reading and Writing,A,A; Correct,Review,1.1
19,Reading and Writing,C,C; Correct,Review,1.1
20,Reading and Writing,D,D; Correct,Review,1.1
21,Reading and Writing,C,C; Correct,Review,1.1
22,Reading and Writing,D,D; Correct,Review,1.1
23,Reading and Writing,A,A; Correct,Review,1.1
24,Reading and Writing,D,D; Correct,Review,1.1
25,Reading and Writing,C,C; Correct,Review,1.1
26,Reading and Writing,B,B; Correct,Review,1.1
27,Reading and Writing,A,A; Correct,Review,1.1
7,Reading and Writing,D,B; Incorrect,Review,1.2
11,Reading and Writing,A,B; Incorrect,Review,1.2
12,Reading and Writing,D,A; Incorrect,Review,1.2
13,Reading and Writing,D,A; Incorrect,Review,1.2
21,Reading and Writing,B,C; Incorrect,Review,1.2
26,Reading and Writing,C,B; Incorrect,Review,1.2
27,Reading and Writing,A,B; Incorrect,Review,1.2
1,Reading and Writing,B,B; Correct,Review,1.2
2,Reading and Writing,A,A; Correct,Review,1.2
3,Reading and Writing,B,B; Correct,Review,1.2
4,Reading and Writing,C,C; Correct,Review,1.2
5,Reading and Writing,D,D; Correct,Review,1.2
6,Reading and Writing,B,B; Correct,Review,1.2
8,Reading and Writing,C,C; Correct,Review,1.2
9,Reading and Writing,D,D; Correct,Review,1.2
10,Reading and Writing,A,A; Correct,Review,1.2
14,Reading and Writing,D,D; Correct,Review,1.2
15,Reading and Writing,B,B; Correct,Review,1.2
16,Reading and Writing,D,D; Correct,Review,1.2
17,Reading and Writing,D,D; Correct,Review,1.2
18,Reading and Writing,D,D; Correct,Review,1.2
19,Reading and Writing,C,C; Correct,Review,1.2
20,Reading and Writing,A,A; Correct,Review,1.2
22,Reading and Writing,A,A; Correct,Review,1.2
23,Reading and Writing,A,A; Correct,Review,1.2
24,Reading and Writing,B,B; Correct,Review,1.2
25,Reading and Writing,D,D; Correct,Review,1.2
10,Math,A,Omitted,Review,2.1
15,Math,40,Omitted,Review,2.1
19,Math,".8823, .8824, 15/17",Omitted,Review,2.1
20,Math,"25/4, 6.25",Omitted,Review,2.1
21,Math,24,Omitted,Review,2.1
22,Math,"20.25, 81/4",Omitted,Review,2.1
1,Math,A,A; Correct,Review,2.1
2,Math,B,B; Correct,Review,2.1
3,Math,A,A; Correct,Review,2.1
4,Math,D,D; Correct,Review,2.1
5,Math,A,A; Correct,Review,2.1
6,Math,".3, 3/10",.30; Correct,Review,2.1
7,Math,C,C; Correct,Review,2.1
8,Math,5,5; Correct,Review,2.1
9,Math,B,B; Correct,Review,2.1
11,Math,B,B; Correct,Review,2.1
12,Math,B,B; Correct,Review,2.1
13,Math,C,C; Correct,Review,2.1
14,Math,B,B; Correct,Review,2.1
16,Math,D,D; Correct,Review,2.1
17,Math,C,C; Correct,Review,2.1
18,Math,A,A; Correct,Review,2.1
3,Math,60,Omitted,Review,2.2
4,Math,C,Omitted,Review,2.2
5,Math,A,Omitted,Review,2.2
6,Math,B,Omitted,Review,2.2
7,Math,D,Omitted,Review,2.2
8,Math,A,Omitted,Review,2.2
9,Math,16,Omitted,Review,2.2
10,Math,B,Omitted,Review,2.2
11,Math,A,Omitted,Review,2.2
12,Math,C,Omitted,Review,2.2
13,Math,B,Omitted,Review,2.2
14,Math,A,Omitted,Review,2.2
15,Math,A,Omitted,Review,2.2
16,Math,D,Omitted,Review,2.2
17,Math,8,Omitted,Review,2.2
18,Math,C,Omitted,Review,2.2
19,Math,D,Omitted,Review,2.2
20,Math,52,Omitted,Review,2.2
21,Math,A,Omitted,Review,2.2
22,Math,D,Omitted,Review,2.2
1,Math,D,D; Correct,Review,2.2
2,Math,D,D; Correct,Review,2.2
